yyyy.mm,Y,X1,X2,X3
1995.01,465.25,13.18,150.3,7.78
1995.02,481.92,13.18,150.9,7.47
1995.03,493.15,13.18,151.4,7.2
1995.04,507.91,13.2433,151.9,7.06
1995.05,523.81,13.3067,152.2,6.63
1995.06,539.35,13.37,152.5,6.17
1995.07,557.37,13.44,152.5,6.28
1995.08,559.11,13.51,152.9,6.49
1995.09,578.77,13.58,153.2,6.2
1995.1,582.92,13.65,153.7,6.04
1995.11,595.53,13.72,153.6,5.93
1995.12,614.57,13.79,153.5,5.71
1996.01,614.42,13.8933,154.4,5.65
1996.02,649.54,13.9967,154.9,5.81
1996.03,647.07,14.1,155.7,6.27
1996.04,647.17,14.1567,156.3,6.51
1996.05,661.23,14.2133,156.6,6.74
1996.06,668.5,14.27,156.7,6.91
1996.07,644.07,14.4,157,6.87
1996.08,662.68,14.53,157.3,6.64
1996.09,674.88,14.66,157.8,6.83
1996.1,701.46,14.74,158.3,6.53
1996.11,735.67,14.82,158.6,6.2
1996.12,743.25,14.9,158.6,6.3
1997.01,766.22,14.9533,159.1,6.58
1997.02,798.39,15.0067,159.6,6.42
1997.03,792.16,15.06,160,6.69
1997.04,763.93,15.0933,160.2,6.89
1997.05,833.09,15.1267,160.1,6.71
1997.06,876.29,15.16,160.3,6.49
1997.07,925.29,15.2167,160.5,6.22
1997.08,927.24,15.2733,160.8,6.3
1997.09,937.02,15.33,161.2,6.21
1997.1,951.16,15.3867,161.6,6.03
1997.11,938.92,15.4433,161.5,5.88
1997.12,962.37,15.5,161.3,5.81
1998.01,963.36,15.55,161.6,5.54
1998.02,1023.74,15.6,161.9,5.57
1998.03,1076.83,15.65,162.2,5.65
1998.04,1112.2,15.75,162.5,5.64
1998.05,1108.42,15.85,162.8,5.65
1998.06,1108.39,15.95,163,5.5
1998.07,1156.58,16.0167,163.2,5.46
1998.08,1074.62,16.0833,163.4,5.34
1998.09,1020.64,16.15,163.6,4.81
1998.1,1032.47,16.1667,164,4.53
1998.11,1144.43,16.1833,164,4.83
1998.12,1190.05,16.2,163.9,4.65
1999.01,1248.77,16.28333333,164.3,4.72
1999.02,1246.58,16.36666667,164.5,5
1999.03,1281.66,16.45,165,5.23
1999.04,1334.76,16.37,166.2,5.18
1999.05,1332.07,16.29,166.2,5.54
1999.06,1322.55,16.21,166.2,5.9
1999.07,1380.99,16.29333333,166.7,5.79
1999.08,1327.49,16.37666667,167.1,5.94
1999.09,1318.17,16.46,167.9,5.92
1999.1,1300.01,16.46666667,168.2,6.11
1999.11,1391,16.47333333,168.3,6.03
1999.12,1428.68,16.48,168.3,6.28
2000.01,1425.59,16.57333333,168.8,6.66
2000.02,1388.87,16.66666667,169.8,6.52
2000.03,1442.21,16.76,171.2,6.26
2000.04,1461.36,16.74,171.3,5.99
2000.05,1418.48,16.72,171.5,6.44
2000.06,1461.96,16.7,172.4,6.1
2000.07,1473,16.58,172.8,6.05
2000.08,1485.46,16.46,172.8,5.83
2000.09,1468.05,16.34,173.7,5.8
2000.1,1390.14,16.31666667,174,5.74
2000.11,1378.04,16.29333333,174.1,5.72
2000.12,1330.93,16.27,174,5.24
2001.01,1335.63,16.17,175.1,5.16
2001.02,1305.75,16.07,175.8,5.1
2001.03,1185.85,15.97,176.2,4.89
2001.04,1189.84,15.87666667,176.9,5.14
2001.05,1270.37,15.78333333,177.7,5.39
2001.06,1238.71,15.69,178,5.28
2001.07,1204.45,15.70666667,177.5,5.24
2001.08,1178.5,15.72333333,177.5,4.97
2001.09,1044.64,15.74,178.3,4.73
2001.1,1076.59,15.74,177.7,4.57
2001.11,1129.68,15.74,177.4,4.65
2001.12,1144.93,15.74,176.7,5.09
2002.01,1140.21,15.73666667,177.1,5.04
2002.02,1100.67,15.73333333,177.8,4.91
2002.03,1153.79,15.73,178.8,5.28
2002.04,1111.93,15.83,179.8,5.21
2002.05,1079.25,15.93,179.8,5.16
2002.06,1014.02,16.03,179.9,4.93
2002.07,903.59,15.95,180.1,4.65
2002.08,912.55,15.87,180.7,4.26
2002.09,867.81,15.79,181,3.87
2002.1,854.63,15.88333333,181.3,3.94
2002.11,909.93,15.97666667,181.3,4.05
2002.12,899.18,16.07,180.9,4.03
2003.01,895.84,16.12,181.7,4.05
2003.02,837.03,16.17,183.1,3.9
2003.03,846.63,16.22,184.2,3.81
2003.04,890.03,16.20333333,183.8,3.96
2003.05,935.96,16.18666667,183.5,3.57
2003.06,988,16.17,183.7,3.33
2003.07,992.54,16.31,183.9,3.98
2003.08,989.53,16.45,184.6,4.45
2003.09,1019.44,16.59,185.2,4.27
2003.1,1038.73,16.85666667,185,4.29
2003.11,1049.9,17.12333333,184.5,4.3
2003.12,1080.64,17.39,184.3,4.27