YYYYMMDD,MKT_RF,SMB,HML,RF,CNSMR,MANUF,HITEC,HEALTH,OTHER
20191217,0.1,0.42,0.68,0.007,0.26,0.18,-0.18,0.19,0.26
20191218,-0.05,0.18,0.1,0.007,0.02,0.05,0.04,-0.02,-0.25
20191219,0.43,-0.01,-0.43,0.007,0.46,0.22,0.7,0.33,0.26
20191220,0.48,-0.3,-0.28,0.007,0.38,0.6,0.52,0.73,0.29
20191223,0.1,0.2,-0.31,0.007,-0.21,0.3,0.22,0.49,-0.14
20191224,0.01,0.37,-0.02,0.007,0.13,-0.13,-0.04,0.06,0.09
20191226,0.48,-0.53,-0.02,0.007,0.89,0.12,0.73,-0.26,0.45
20191227,-0.1,-0.53,-0.07,0.007,0.07,-0.08,-0.07,-0.19,-0.16
20191230,-0.57,0.17,0.59,0.007,-0.57,-0.4,-0.68,-0.72,-0.44
20191231,0.28,-0.01,0.11,0.007,0.13,0.41,0.32,0.37,0.22
20200102,0.86,-0.85,-0.36,0.006,0.49,0.19,1.63,0.16,0.89
20200103,-0.67,0.37,0.02,0.006,-0.52,-0.31,-0.77,-0.81,-0.84
20200106,0.36,-0.06,-0.56,0.006,0.41,0.13,0.6,0.53,0.07
20200107,-0.19,-0.01,-0.21,0.006,-0.31,-0.19,0.05,-0.32,-0.42
20200108,0.47,-0.05,-0.63,0.006,0.2,-0.4,0.8,0.56,0.76
20200109,0.65,-0.63,-0.48,0.006,0.44,0.54,0.93,0.62,0.52
20200110,-0.34,-0.16,-0.34,0.006,-0.43,-0.51,-0.18,0.04,-0.5
20200113,0.73,-0.09,-0.12,0.006,0.63,0.68,1.1,-0.09,0.64
20200114,-0.06,0.38,-0.14,0.006,0.03,0.12,-0.45,0.8,-0.07
20200115,0.16,0.46,-0.83,0.006,-0.03,0.31,0.12,0.58,0.09
20200116,0.88,0.5,-0.11,0.006,0.7,0.64,1.15,0.48,0.97
20200117,0.28,-0.63,-0.1,0.006,-0.01,0.05,0.6,-0.08,0.36
20200121,-0.32,-0.51,-0.6,0.006,0.28,-0.77,-0.18,-0.12,-0.7
20200122,0.08,-0.28,0,0.006,0.13,-0.39,0.29,0.13,0.08
20200123,0.08,-0.05,-0.14,0.006,0.01,0.24,0.13,-0.55,0.24
20200124,-0.97,-0.42,-0.32,0.006,-1.09,-0.61,-0.67,-1.64,-1.2
20200127,-1.56,0.37,-0.42,0.006,-0.95,-1.54,-2.06,-0.29,-1.81
20200128,1.02,-0.13,-0.43,0.006,0.67,0.51,1.6,0.41,1.09
20200129,-0.1,-0.26,-0.96,0.006,-0.15,-0.33,-0.04,-0.02,-0.04
20200130,0.34,-0.69,0.63,0.006,0.6,0.36,0.16,-0.43,0.72
20200131,-1.74,-0.43,-0.34,0.006,-0.1,-1.89,-2.16,-1.71,-2.12
20200203,0.84,0.63,-0.71,0.006,0.72,0.25,1.16,1.21,0.73
20200204,1.57,-0.01,-0.67,0.006,1.55,0.84,2.05,1.71,1.37
20200205,0.97,0.29,1.48,0.006,0.18,1.91,0.41,1.33,1.66
20200206,0.27,-0.45,-0.86,0.006,0,-0.15,0.94,0.17,-0.11
20200207,-0.55,-0.78,0,0.006,-0.01,-0.86,-0.66,-0.73,-0.51
20200210,0.73,-0.01,-0.9,0.006,0.98,0.2,1.12,0.65,0.39
20200211,0.28,0.05,1.07,0.006,0.5,0.46,-0.08,0.38,0.49
20200212,0.66,0.17,-0.36,0.006,0.51,0.71,1,-0.36,0.69
20200213,-0.09,0.17,-0.02,0.006,0.15,0.08,-0.22,-0.49,-0.02
20200214,0.15,-0.39,-0.68,0.006,-0.13,0,0.37,0.31,0.02
20200218,-0.19,0.16,-0.68,0.006,0.34,-0.44,-0.16,-0.45,-0.4
20200219,0.6,0.23,-0.04,0.006,0.37,0.23,0.86,0.48,0.68
20200220,-0.35,0.46,0.67,0.006,0.05,0.05,-0.79,-0.4,-0.14
20200221,-1.12,-0.08,0.02,0.006,-0.82,-0.54,-1.89,-0.03,-1.03
20200224,-3.39,0.17,-0.01,0.006,-3.05,-3.06,-3.79,-2.42,-3.63
20200225,-3.09,-0.09,-0.72,0.006,-2.35,-3.38,-2.85,-2.5,-3.91
20200226,-0.52,-0.41,-1.21,0.006,-0.61,-1.28,0.07,-0.05,-1.01
20200227,-4.22,0.75,0.12,0.006,-4.3,-4.44,-4.71,-3.1,-3.91
20200228,-0.78,0.28,-0.78,0.006,-1.52,-1.15,0.45,-1.35,-1.51
20200302,4.31,-1.76,-0.4,0.006,4.39,4.04,4.58,4.21,4.15
20200303,-2.79,0.78,-0.62,0.006,-1.91,-2.03,-3.29,-2.58,-3.26
20200304,4.03,-1.05,-1.1,0.006,3.71,3.96,4.01,4.83,3.97
20200305,-3.38,0.19,-1.37,0.006,-2.82,-3.49,-3.37,-2.02,-4.33
20200306,-1.78,0.04,-1.42,0.006,-1.23,-1.96,-1.89,-0.69,-2.3
20200309,-7.79,-0.45,-4.7,0.006,-5.67,-10.04,-7.22,-5.67,-9.63
20200310,4.74,-2.47,0.78,0.006,4.16,3.69,5.52,3.23,5.55
20200311,-5.05,-0.84,-0.79,0.006,-4.52,-6.01,-4.77,-4.5,-5.42
20200312,-9.63,-0.52,-1.21,0.006,-9.51,-10.56,-9.47,-7.51,-10.36
20200313,8.96,-2.71,2.99,0.006,6.86,7.68,10.47,6.55,10.49
20200316,-12,-0.33,-0.77,0.006,-10.45,-11.59,-12.61,-9.74,-13.38
20200317,5.87,0.72,-0.85,0.006,6.05,6.78,6.07,5.82,4.73
20200318,-5.56,-3.59,-4.71,0.006,-4.21,-7.3,-4.35,-2.67,-8.76
20200319,1.31,5.54,0.99,0.006,1.7,0.01,1.51,-0.71,2.63
20200320,-4.15,0.39,-0.9,0.006,-4.24,-5.23,-4.08,-4.06,-3.82
20200323,-2.55,2.2,-3.5,0.006,-0.6,-5.02,-0.9,-3.82,-4.75
20200324,9.34,-1.18,2.35,0.006,6.94,11.63,8.74,6.98,12.24
20200325,1.18,-0.68,1.86,0.006,0.09,3.59,-0.58,0.77,3.63
20200326,6.02,-0.67,1.2,0.006,4.49,7.14,6.22,6.4,6.02
20200327,-3.48,-0.78,-0.69,0.006,-2.5,-3.04,-4.25,-2.14,-3.99
20200330,3.16,-0.35,-2.16,0.006,3,2.59,3.77,4.65,2.08
20200331,-1.44,1.81,-0.42,0.006,-1.39,-1.82,-1.25,-0.37,-2.04
20200401,-4.51,-1.54,-1.41,0,-3.19,-4.8,-4.42,-4.06,-5.62
20200402,2.1,-0.99,-0.28,0,1.03,3.28,1.98,3.35,1.8
20200403,-1.64,-1.1,-1.13,0,-0.58,-1.83,-1.82,-0.65,-2.66
20200406,7.06,0.73,0.27,0,6.14,6.92,7.9,5.07,7.94
20200407,-0.11,-0.53,2.16,0,0.59,-0.02,-0.43,-1.22,0.56
20200408,3.4,0.35,1.25,0,2.2,4.84,2.59,3.78,4.53
20200409,1.59,1.93,3.19,0,1.59,1.96,0.54,1.02,3.27
20200413,-0.92,-0.72,-2.42,0,0.54,-2.2,0.12,-0.93,-2.85
20200414,3.02,-0.12,-3.17,0,4.04,2.02,3.88,3.43,1.31
20200415,-2.15,-1.18,-2.5,0,-1.62,-3.33,-1.59,-1.1,-3.48
20200416,0.62,-0.22,-2.99,0,1.66,-0.86,1.1,1.66,-0.77
20200417,2.72,0.72,2.71,0,1.57,5.18,1.41,3.2,4.14
20200420,-1.56,0.79,-0.93,0,-1.29,-3.05,-1.36,-0.04,-2.15
20200421,-3.08,0.96,0.11,0,-2.72,-2.05,-3.9,-3.12,-2.79
20200422,2.31,-0.7,-1.65,0,1.82,2.28,3.39,1.4,1.29
20200423,0.13,1.16,0.54,0,-0.25,0.4,-0.24,0.6,0.5
20200424,1.44,0.32,-0.12,0,1.56,0.6,1.78,1.59,1.21
20200427,1.73,1.62,2.68,0,1.39,1.78,1.04,1.19,3.35
20200428,-0.45,0.88,2.82,0,-0.07,1.26,-1.44,-2.3,0.79
20200429,2.92,1.85,2,0,1.29,2.71,4.16,0.95,3.55
20200430,-1.18,-1.39,-1.64,0,-0.56,-2.21,-0.31,-0.95,-2.44
20200501,-2.91,-0.56,-1,0,-3.54,-3.41,-2.55,-1.88,-3.07
20200504,0.53,0.17,-1.37,0,0.73,0.44,1.01,0.55,-0.48
20200505,0.95,0.09,-1.98,0,0.44,0.55,1.29,2.25,0.32
20200506,-0.52,0.59,-2.78,0,0.07,-2.08,0.49,-0.62,-1.66
20200507,1.33,-0.04,0.39,0,0.62,1.1,1.72,0.22,1.86
20200508,1.9,1.41,2.48,0,2.02,3.24,1.48,0.76,2.33
20200511,0.07,0.49,-3.75,0,0.15,-1.09,0.64,2.38,-1.6
20200512,-2.06,-0.86,-1.35,0,-1.75,-2.01,-2.05,-1.83,-2.69
20200513,-1.89,-0.94,-2.12,0,-1.26,-2.5,-1.75,-1.05,-2.77
20200514,1.14,-1.49,0.93,0,0.75,0.97,1.02,0.48,2.26
20200515,0.57,1.62,-1.19,0,0.93,-0.03,0.7,0.94,0
20200518,3.24,1.5,4.58,0,2.43,5.67,2.34,1.31,5.24
20200519,-1.01,-0.56,-1.46,0,-0.64,-1.82,-0.37,-1.47,-1.72
20200520,1.8,1.07,1.29,0,1.3,1.85,2.19,0.63,2.16
20200521,-0.7,0.65,0.41,0,-0.38,-0.53,-0.95,-0.89,-0.55
20200522,0.27,0.47,-0.87,0,-0.1,0.16,0.69,0.25,-0.06
20200526,1.23,0.04,4.59,0,0.93,2.64,0.04,-0.8,3.95
20200527,1.54,0.61,3.62,0,1.36,2.17,0.71,0.51,3.28
20200528,-0.41,-1.47,-2.41,0,-0.4,-0.21,-0.35,1.04,-1.44
20200529,0.6,-0.28,-1.97,0,0.65,-0.14,1.26,1.41,-0.66
20200601,0.52,-0.02,0.45,0,0.86,0.87,0.39,-1.07,0.84
20200602,0.81,-0.05,0.45,0,0.54,1.35,0.74,0.53,0.98
20200603,1.42,0.11,2.66,0,0.98,2.71,0.74,-0.3,2.93
20200604,-0.34,-0.24,2.98,0,-0.38,-0.19,-0.84,-1.02,0.92
20200605,2.5,0.73,2.67,0,1.85,3.71,2.12,1.36,3.59
20200608,1.39,0.37,2.15,0,1.5,2.46,0.81,0.79,1.55
20200609,-0.85,-0.3,-1.94,0,-0.32,-2.33,0.12,-0.99,-1.8
20200610,-0.56,-0.82,-4.16,0,-0.25,-2.18,0.99,0.07,-2.69
20200611,-5.91,-0.83,-3.06,0,-4.5,-6.79,-5.46,-5.38,-7.52
20200612,1.29,0.36,1.86,0,0.24,1.55,1.2,0.85,2.36
20200615,1.09,1.42,-0.41,0,1.13,0.87,1.15,0.71,1.06
20200616,1.86,0.63,0.48,0,1.9,1.88,1.86,2.36,1.68
20200617,-0.4,-0.91,-1.98,0,-0.01,-1.13,-0.07,-0.13,-0.97
20200618,0.19,0.1,-0.56,0,0.02,0.15,0.4,-0.06,-0.1
20200619,-0.45,0.09,-0.64,0,-0.27,-1.43,-0.44,1.26,-0.81
20200622,0.71,0.83,-1.44,0,0.64,0.37,1.39,-0.11,0.1
20200623,0.42,0.14,-0.56,0,0.48,-0.23,0.61,0.22,0.56
20200624,-2.61,-0.5,-1.3,0,-1.96,-3.01,-2.28,-2.62,-3.58
20200625,1.12,0.26,0.49,0,0.49,0.8,1.05,1.09,2.02
20200626,-2.44,0.18,-1.42,0,-1.97,-2.2,-2.42,-1.33,-3.48
20200629,1.51,1.22,1.77,0,1.57,2.52,1.32,0.61,1.75
20200630,1.58,0.07,0,0,1.54,1.09,1.72,1.78,1.54
20200701,0.41,-1.24,-2.51,0,1.18,-0.45,0.7,0.73,-0.38
20200702,0.5,-0.01,-0.09,0,0.61,0.98,0.39,0.7,0.17
20200706,1.65,-0.61,0.37,0,2.69,0.58,1.81,0.72,1.64
20200707,-1.03,-0.51,-1.53,0,-0.54,-1.47,-0.77,-0.31,-2
20200708,0.91,0.31,-0.46,0,0.5,0.14,1.54,0.26,0.95
20200709,-0.53,-0.9,-2.59,0,0.37,-2.09,0.38,-0.53,-2.05
20200710,1.11,-0.13,3.03,0,1.77,1.92,0.26,-0.34,2.43
20200713,-1.2,-0.78,1.99,0,-1.38,-0.11,-2.28,-0.21,-0.19
20200714,1.35,0.36,-0.34,0,1.11,2.14,1.12,1.9,1.24
20200715,1.14,2.4,1.28,0,0.42,1.33,0.61,1.91,2.26
20200716,-0.37,-0.37,0.79,0,-0.11,0.13,-0.78,-0.47,-0.19
20200717,0.3,0.18,-1.41,0,-0.18,0.32,0.48,1.79,-0.43
20200720,1.01,-0.43,-2.38,0,2.1,-1.09,2.25,0.23,-0.39
20200721,0.16,0.83,3.23,0,0.08,1.89,-0.75,-0.62,1.19
20200722,0.49,-0.58,-0.34,0,0.52,0.66,0.52,0.62,0.26
20200723,-1.2,0.72,1.92,0,-1.28,-0.02,-2.3,-0.78,-0.23
20200724,-0.75,-0.79,0.46,0,-0.22,-0.66,-0.89,-1.36,-0.63
20200727,0.88,0.78,-1.94,0,1.21,0.16,1.46,1.11,-0.11
20200728,-0.81,-0.7,0.97,0,-1.02,-0.48,-1.15,-0.32,-0.52
20200729,1.35,0.52,0.87,0,1.02,1.12,1.61,0.52,1.88
20200730,-0.29,0.5,-1.83,0,-0.27,-1.14,0.53,-0.35,-1.22
20200731,0.61,-1.54,-0.65,0,0.49,-0.37,1.94,-0.8,-0.26
20200803,0.98,1.2,-0.79,0,-0.01,0.18,1.82,1.49,0.52
20200804,0.37,0.45,0.05,0,0.92,1.08,0.16,-0.38,0.19
20200805,0.78,1.01,0.85,0,0.72,0.98,0.41,0.28,1.7
20200806,0.53,-0.42,-0.79,0,0.22,-0.24,1.36,-0.63,0.38
20200807,0.02,0.85,2.34,0,-0.11,1.06,-1.09,0.3,1.48
20200810,0.24,0.81,1.66,0,0.29,1.72,-0.44,-0.52,0.9
20200811,-0.83,-0.34,1.57,0,-0.79,-0.45,-1.65,-1.04,0.5
20200812,1.4,-0.48,-1.3,0,1.99,0.96,1.93,1.45,0.17
20200813,-0.01,0.21,-1.3,0,0.11,-0.63,0.34,0.06,-0.43
20200814,-0.04,-0.09,1.03,0,0.13,0.15,-0.21,-0.44,0.23
20200817,0.45,0.58,-1.94,0,1.52,-0.33,0.59,1.29,-0.66
20200818,0.22,-1.06,-1.39,0,1.06,-0.54,0.57,-0.06,-0.53
20200819,-0.38,0.47,0.08,0,-0.79,-0.42,-0.29,-0.48,-0.05
20200820,0.31,-0.49,-1.52,0,0.29,-0.94,1.22,-0.06,-0.35
20200821,0.25,-1.06,-0.42,0,0.24,-0.05,0.67,-0.26,-0.08
20200824,0.92,-0.33,2.56,0,0.8,1.76,0.74,-0.48,1.64
20200825,0.36,0.14,-0.61,0,0.29,-0.59,0.61,0.88,0.29
20200826,1,-1.11,-1.74,0,1.42,-0.62,2.24,-0.11,0.01
20200827,0.18,-0.36,0.98,0,0.21,0.1,-0.37,0.69,1.08
20200828,0.7,0.3,-0.22,0,0.54,0.9,0.74,0.14,0.91
20200831,-0.04,-0.44,-1.75,0,0.74,-1.04,0.33,0.58,-1.15
20200901,0.92,0.49,-0.33,0,0.66,0.44,1.94,-1.21,0.6
20200902,1.27,-0.52,-0.43,0,0.94,1.73,1.12,1.8,1.35
20200903,-3.7,-0.25,2.57,0,-3.49,-2.18,-5.24,-2.96,-2.17
20200904,-0.87,-0.2,2.09,0,-0.85,-0.18,-1.64,-0.65,0.03
20200908,-2.91,0.65,-0.18,0,-3.49,-2.1,-3.78,-1.6,-2.01
20200909,2.07,-0.16,-1.96,0,2.45,1.4,2.69,1.97,1.08
20200910,-1.64,0.32,-0.05,0,-1.46,-1.68,-1.9,-1.59,-1.38
20200911,-0.06,-0.84,0.91,0,-0.21,0.82,-0.6,0.33,0.33
20200914,1.59,1.14,-0.78,0,1.39,1.26,1.51,2.36,1.71
20200915,0.57,-0.28,-1.42,0,1.12,-0.09,1.16,0.46,-0.51
20200916,-0.39,0.71,1.34,0,-0.9,0.85,-1.35,0.12,0.77
20200917,-0.85,0.37,0.19,0,-1.3,-0.04,-1.15,-0.19,-0.74
20200918,-0.88,0.75,-0.18,0,-0.82,-1.21,-1.31,0.08,-0.55
20200921,-1.08,-1.91,-1.91,0,-0.65,-2.35,0.26,-1.92,-2.67
20200922,1.02,-0.12,-1.65,0,1.55,0.64,1.72,0.21,-0.12
20200923,-2.48,-0.69,0.17,0,-2.87,-1.97,-2.88,-1.37,-2.27
20200924,0.25,-0.21,0.32,0,0.39,0.38,0.46,-0.79,0.22
20200925,1.72,0.13,-1.35,0,1.46,0.97,2.2,1.75,1.44
20200928,1.66,0.71,1.02,0,2,1.41,1.64,0.7,2.06
20200929,-0.42,0.75,-1.3,0,-0.69,-0.71,-0.11,-0.03,-0.83
20200930,0.79,-0.69,0.18,0,0.97,0.39,0.6,1.28,0.97
20201001,0.79,1.06,-0.57,0,1.57,-0.24,1.1,-0.32,0.73
20201002,-0.96,1.08,2.44,0,-1.25,0.76,-2.06,-1.21,0.46
20201005,1.93,0.99,-0.1,0,1.59,1.89,2.11,2.4,1.67
20201006,-1.28,0.76,0.24,0,-1.75,-0.56,-1.4,-1.26,-1.12
20201007,1.84,0.46,0.24,0,2.11,1.56,1.66,1.99,1.99
20201008,0.8,0.01,1,0,0.54,1.52,0.63,0.58,1.07
20201009,0.93,0.01,-1.42,0,1.19,0.11,1.36,0.78,0.44
20201012,1.53,-0.82,-0.14,0,1.86,0.49,2.51,0.56,0.72
20201013,-0.41,0.19,-1.69,0,0.26,-0.79,-0.19,-0.52,-1.27
20201014,-0.65,0.1,0.06,0,-0.82,0.08,-0.73,-0.6,-0.83
20201015,-0.08,0.88,1.12,0,0.01,0.43,-0.38,-0.89,0.53
20201016,-0.06,-0.21,0.06,0,-0.7,0.15,-0.13,0.77,0.08
20201019,-1.53,0.36,0.28,0,-1.51,-1.24,-1.67,-1.6,-1.48
20201020,0.34,-0.25,1.28,0,0.1,0.47,0.38,-0.2,0.74
20201021,-0.36,-0.43,0.3,0,-0.45,-0.56,0.12,-0.98,-0.66
20201022,0.67,0.59,1.07,0,0.14,1.21,0.13,1.51,1.35
20201023,0.38,0.43,0.05,0,0.48,0.28,0.35,0.31,0.47
20201026,-1.85,-0.28,-0.39,0,-1.3,-1.88,-2.11,-1.06,-2.37
20201027,-0.23,-0.04,-2.36,0,0.38,-1.13,0.53,-0.59,-1.64
20201028,-3.41,0.06,0.57,0,-3.12,-3.13,-3.91,-3.01,-3.12
20201029,1.13,0.17,0.22,0,0.59,1.23,1.81,-0.15,0.94
20201030,-1.45,-0.79,1.85,0,-2.46,-0.48,-2.03,-0.76,-0.28
20201102,1.17,0.45,0.98,0,1.05,2.59,0.24,1.32,2.08
20201103,1.93,0.94,-0.21,0,2.19,1.7,1.75,1.33,2.41
20201104,2.25,-1.43,-4.89,0,1.76,-0.93,3.98,3.78,0.62
20201105,2.13,1,0.49,0,1.95,2,2.67,0.29,2.29
20201106,0.01,-0.83,-0.95,0,-0.01,-0.19,0.47,-0.22,-0.7
20201109,0.87,0.7,6.7,0,-1.43,3.41,-1.41,1.27,5.66
20201110,-0.17,1.47,2.17,0,0.03,1.83,-1.64,0.58,0.93
20201111,0.88,-0.55,-1.75,0,1.29,-0.31,2.07,-0.02,-0.53
20201112,-0.94,-0.23,-1.18,0,-0.91,-1.7,-0.6,-0.56,-1.32
20201113,1.31,0.58,1.13,0,1.07,2.08,0.91,1.4,1.74
20201116,1.22,0.74,1.91,0,1.19,2.35,0.83,-0.08,1.96
20201117,-0.19,0.61,0.02,0,-0.07,-0.2,-0.3,-0.22,-0.26
20201118,-0.93,-0.01,0,0,-0.1,-1.31,-1.07,-1.51,-0.91
20201119,0.59,0.49,-0.72,0,0.76,0.29,0.96,0.39,0.04
20201120,-0.51,0.7,-0.61,0,-0.57,-0.37,-0.55,0.16,-0.91
20201123,0.83,0.85,1.55,0,1.13,2.11,0,-0.14,1.6
20201124,1.56,-0.15,2.73,0,1.48,2.14,1.27,0.15,2.55
20201125,0.03,0.01,-1.27,0,0.48,-0.83,0.33,-0.15,-0.46
20201127,0.43,0.45,-1.64,0,0.31,-0.32,0.75,1.45,-0.15
20201130,-0.53,-0.98,-2.05,0,-0.64,-1.86,0.32,0.41,-1.59
20201201,0.98,-0.23,0.54,0,1.12,0.58,1.17,0.52,1.18
20201202,0.11,-0.09,1.05,0,-0.86,0.46,0.11,0.35,0.79
20201203,0.18,0.46,-0.05,0,0.49,0.08,0.02,-0.02,0.14
20201204,1.02,1.4,0.85,0,0.44,1.59,0.74,1.27,1.4
20201207,0.03,0.22,-1.01,0,0.22,-0.53,0.33,-0.38,-0.39
20201208,0.47,0.97,-0.75,0,0.49,0.66,0.37,1.23,0.09
20201209,-1.03,-0.06,1.34,0,-1.01,-0.19,-1.76,-0.37,-0.41
20201210,0.24,1.09,-0.47,0,0.12,0.12,0.39,0.5,-0.13
20201211,-0.2,-0.36,-0.72,0,-0.37,-0.19,0.26,-0.34,-0.67
20201214,-0.28,0.6,-1.54,0,0.52,-1.25,0.02,-0.22,-0.77
20201215,1.28,1.05,0.4,0,0.68,1.73,1.46,1.04,1.51
20201216,0.17,-0.42,-0.37,0,0.47,-0.58,0.47,-0.35,0
20201217,0.79,0.71,-0.67,0,0.96,0.38,0.6,1.32,0.74
20201218,-0.12,0.11,-1.15,0,0.14,-0.46,-0.09,0.2,-0.52
20201221,-0.23,0.13,-0.03,0,-0.84,-0.66,-0.03,-0.53,0.12
20201222,0.06,1.23,-1.62,0,-0.35,-0.56,0.78,0.01,-0.63
20201223,0.1,0.34,2,0,0.13,0.5,-0.49,0.12,0.96
20201224,0.21,-0.39,-0.17,0,0.21,0.24,0.37,-0.05,0.24
20201228,0.46,-0.72,0.32,0,1.09,-0.14,0.8,-0.49,0.54
20201229,-0.4,-1.52,0.24,0,-0.06,-0.51,-0.57,-0.02,-0.31
20201230,0.27,0.99,0.04,0,0.24,0.93,-0.16,0.28,0.62
20201231,0.39,-0.87,0.45,0,0.13,0.38,0.33,0.52,0.86